# theta, gammat_err
2.805046135754705627e+00 5.180402882464086282e-05
3.531343861556119457e+00 4.357176420820254496e-05
4.445698525095699516e+00 3.752197844782259638e-05
5.596802846418014177e+00 2.629358369089509364e-05
7.045957328156546851e+00 2.138543413415791298e-05
8.870334730832327708e+00 2.035366138240347433e-05
1.116708980376357552e+01 1.509826995409146176e-05
1.405853312974346814e+01 1.320960904899926628e-05
1.769864460958168095e+01 1.148801747524537605e-05
2.228127345331300901e+01 1.019408710827143655e-05
2.805046135750647807e+01 8.589200239295712315e-06
3.531343861551010122e+01 7.440855026971767339e-06
4.445698525089266440e+01 7.483522373161354017e-06
5.596802846409915588e+01 7.107034223062738083e-06
7.045957328146349141e+01 6.428980572793962969e-06
8.870334730819496372e+01 6.640316133710091172e-06
1.116708980374742026e+02 6.308410040166487316e-06
1.405853312972313063e+02 6.320531978808268108e-06
1.769864460955607228e+02 6.100148515064379758e-06
2.228127345328078661e+02 5.837269631458800957e-06
2.805046135746590039e+02 5.770492658020357065e-06
3.531343861545901746e+02 5.577022969085447754e-06
4.445698525082834749e+02 5.126217801125201453e-06
5.596802846401818670e+02 4.061704958811222929e-06
7.045957328136156548e+02 3.523742666162415401e-06
8.870334730806664538e+02 2.978721818480943307e-06
