# theta, boost
2.805046135754908576e+00 1.010296158502354213e+00
3.531343861556885511e+00 1.009098686811340739e+00
4.445698525097306231e+00 1.007523524633292089e+00
5.596802846420849242e+00 1.006216234919366181e+00
7.045957328161134292e+00 1.004941277400947408e+00
8.870334730839386950e+00 1.004041066926402381e+00
1.116708980377407912e+01 1.003219946983236577e+00
1.405853312975872704e+01 1.002460195500239681e+00
1.769864460960344488e+01 1.001641284515756070e+00
2.228127345334363341e+01 1.001234855529426815e+00
2.805046135754907866e+01 1.000793367945597812e+00
3.531343861556884889e+01 1.000547578780354829e+00
4.445698525097307652e+01 1.000352162070500706e+00
5.596802846420851552e+01 1.000106683795333407e+00
7.045957328161131272e+01 1.000236932494901199e+00
8.870334730839388726e+01 1.000130994287166120e+00
1.116708980377407130e+02 1.000058960793942298e+00
1.405853312975872882e+02 1.000153495999407616e+00
1.769864460960343422e+02 1.000231812064848791e+00
2.228127345334363838e+02 1.000254564950481040e+00
2.805046135754906231e+02 1.000265447888613046e+00
3.531343861556885599e+02 1.000113685666034424e+00
4.445698525097302536e+02 1.000032280215590985e+00
5.596802846420847573e+02 9.999231537622790267e-01
7.045957328161139230e+02 9.997206046005531199e-01
8.870334730839383610e+02 1.000082497654111391e+00
