# theta, boost
2.805046135754908576e+00 1.001508465593599073e+00
3.531343861556885511e+00 1.002000439792854580e+00
4.445698525097306231e+00 1.001874453870577275e+00
5.596802846420849242e+00 1.001473721770615111e+00
7.045957328161134292e+00 1.001092116204508553e+00
8.870334730839386950e+00 1.001009905098940500e+00
1.116708980377407912e+01 1.000962721800725985e+00
1.405853312975872704e+01 1.000828672267880526e+00
1.769864460960344488e+01 1.000615911013947867e+00
2.228127345334363341e+01 1.000569645848617295e+00
2.805046135754907866e+01 1.000592041643473484e+00
3.531343861556884889e+01 1.000980739625213722e+00
4.445698525097307652e+01 1.001215129592394115e+00
5.596802846420851552e+01 1.001349445021493700e+00
7.045957328161131272e+01 1.001368941569213744e+00
8.870334730839388726e+01 1.001135860684751577e+00
1.116708980377407130e+02 1.001055223199370570e+00
1.405853312975872882e+02 1.001371076601292209e+00
1.769864460960343422e+02 1.001716827384401265e+00
2.228127345334363838e+02 1.001877148119192817e+00
2.805046135754906231e+02 1.001971489999356146e+00
3.531343861556885599e+02 1.001898877569054047e+00
4.445698525097302536e+02 1.001532425085320144e+00
5.596802846420847573e+02 1.000579454248566424e+00
7.045957328161139230e+02 1.000369683581030955e+00
8.870334730839383610e+02 1.000555116244190579e+00
