# theta, boost
2.805046135754908576e+00 1.013355705493166559e+00
3.531343861556885511e+00 1.012203579473629489e+00
4.445698525097306231e+00 1.011015632495516625e+00
5.596802846420849242e+00 1.009496699476074566e+00
7.045957328161134292e+00 1.008450964906738356e+00
8.870334730839386950e+00 1.007374999840845220e+00
1.116708980377407912e+01 1.006537289050756900e+00
1.405853312975872704e+01 1.006022367784177307e+00
1.769864460960344488e+01 1.005249827907559013e+00
2.228127345334363341e+01 1.004885757659067069e+00
2.805046135754907866e+01 1.004425971126569506e+00
3.531343861556884889e+01 1.004147478210951183e+00
4.445698525097307652e+01 1.003952911259341274e+00
5.596802846420851552e+01 1.003672636371501614e+00
7.045957328161131272e+01 1.003475307737618616e+00
8.870334730839388726e+01 1.003355385319428583e+00
1.116708980377407130e+02 1.003238382236264270e+00
1.405853312975872882e+02 1.003560700137043904e+00
1.769864460960343422e+02 1.003923319578998719e+00
2.228127345334363838e+02 1.004349790841355006e+00
2.805046135754906231e+02 1.004744272750281775e+00
3.531343861556885599e+02 1.004979699922130543e+00
4.445698525097302536e+02 1.004838005457154848e+00
5.596802846420847573e+02 1.004252427442355655e+00
7.045957328161139230e+02 1.004320010946251118e+00
8.870334730839383610e+02 1.004738883159977059e+00
