# theta, boost
2.805046135754908576e+00 1.016537981128825541e+00
3.531343861556885511e+00 1.014394790554346226e+00
4.445698525097306231e+00 1.012744325639936882e+00
5.596802846420849242e+00 1.011149985045281641e+00
7.045957328161134292e+00 1.009739693854353026e+00
8.870334730839386950e+00 1.008428766928019193e+00
1.116708980377407912e+01 1.007371628052504686e+00
1.405853312975872704e+01 1.006385284291507975e+00
1.769864460960344488e+01 1.005390432652206512e+00
2.228127345334363341e+01 1.004457854748986190e+00
2.805046135754907866e+01 1.003814949255379174e+00
3.531343861556884889e+01 1.003187420817374997e+00
4.445698525097307652e+01 1.002735104147169931e+00
5.596802846420851552e+01 1.002424164845396426e+00
7.045957328161131272e+01 1.002153987765999510e+00
8.870334730839388726e+01 1.001672052737721197e+00
1.116708980377407130e+02 1.001243626387441354e+00
1.405853312975872882e+02 1.001191963372547011e+00
1.769864460960343422e+02 1.001118677218423292e+00
2.228127345334363838e+02 1.001005324816657271e+00
2.805046135754906231e+02 1.000869746430678164e+00
3.531343861556885599e+02 1.000887966051396738e+00
4.445698525097302536e+02 1.000771163186988666e+00
5.596802846420847573e+02 1.000551464585041073e+00
7.045957328161139230e+02 1.000665914621021724e+00
8.870334730839383610e+02 1.001279218268771976e+00
