# theta, boost
2.805046135754908576e+00 1.002204669073353704e+00
3.531343861556885511e+00 1.002524618604496931e+00
4.445698525097306231e+00 1.002560466667093309e+00
5.596802846420849242e+00 1.002352315333979060e+00
7.045957328161134292e+00 1.002469653489942658e+00
8.870334730839386950e+00 1.002284895068904946e+00
1.116708980377407912e+01 1.002317724365335838e+00
1.405853312975872704e+01 1.002389690532453415e+00
1.769864460960344488e+01 1.002606807768108732e+00
2.228127345334363341e+01 1.002657133072143436e+00
2.805046135754907866e+01 1.002688789229607469e+00
3.531343861556884889e+01 1.002545262548177440e+00
4.445698525097307652e+01 1.002373825685104691e+00
5.596802846420851552e+01 1.002257217347890084e+00
7.045957328161131272e+01 1.002226552217628353e+00
8.870334730839388726e+01 1.002196646254277956e+00
1.116708980377407130e+02 1.002157699352904441e+00
1.405853312975872882e+02 1.002361555967980822e+00
1.769864460960343422e+02 1.002891829424708225e+00
2.228127345334363838e+02 1.003508440834561810e+00
2.805046135754906231e+02 1.003992280262489878e+00
3.531343861556885599e+02 1.003981688430237718e+00
4.445698525097302536e+02 1.003663361583396973e+00
5.596802846420847573e+02 1.002994414394899225e+00
7.045957328161139230e+02 1.002580060054341082e+00
8.870334730839383610e+02 1.003416588504300266e+00
