# theta, gamma_x
2.805046135754908576e+00 1.568867031645998180e-05
3.531343861556885511e+00 7.960302827972409945e-06
4.445698525097306231e+00 5.706360966581900811e-06
5.596802846420849242e+00 -1.228262218609322164e-05
7.045957328161134292e+00 -6.254912140641607577e-06
8.870334730839386950e+00 3.667269582611722120e-06
1.116708980377407912e+01 -1.541661145027912250e-06
1.405853312975872704e+01 -1.068559105547534872e-07
1.769864460960344488e+01 -3.806530154894710112e-06
2.228127345334363341e+01 -6.527573323267310769e-06
2.805046135754907866e+01 -4.795162550178260781e-06
3.531343861556884889e+01 -2.881906863096251641e-06
4.445698525097307652e+01 -6.240442601189494882e-07
5.596802846420851552e+01 -3.090080420846845311e-06
7.045957328161131272e+01 -4.452334813008767421e-07
8.870334730839388726e+01 -3.969201745489730651e-06
1.116708980377407130e+02 -5.487282760782419684e-06
1.405853312975872882e+02 -9.970325434715465653e-06
1.769864460960343422e+02 -7.394281026241733116e-06
2.228127345334363838e+02 -2.411210858486183034e-06
2.805046135754906231e+02 -2.178144303510061046e-07
3.531343861556885599e+02 -1.994638936805081659e-06
4.445698525097302536e+02 -7.146670891802292752e-06
5.596802846420847573e+02 -7.188539409172077278e-06
7.045957328161139230e+02 -3.553949867864270198e-06
8.870334730839383610e+02 3.266871067061268205e-06
