# theta, boost
2.805046135754908576e+00 9.978846757098538411e-01
3.531343861556885511e+00 9.984126434185429666e-01
4.445698525097306231e+00 9.987320686608387454e-01
5.596802846420849242e+00 9.990199321367028151e-01
7.045957328161134292e+00 9.991372950122848762e-01
8.870334730839386950e+00 9.991671669317975235e-01
1.116708980377407912e+01 9.992019456696332735e-01
1.405853312975872704e+01 9.992989502113310829e-01
1.769864460960344488e+01 9.992086613793601524e-01
2.228127345334363341e+01 9.993631060256590315e-01
2.805046135754907866e+01 9.995006726881576764e-01
3.531343861556884889e+01 9.995431400922560883e-01
4.445698525097307652e+01 9.996298428404866154e-01
5.596802846420851552e+01 9.994927765425383193e-01
7.045957328161131272e+01 9.992846971157740565e-01
8.870334730839388726e+01 9.989603435393491493e-01
1.116708980377407130e+02 9.986008806321789999e-01
1.405853312975872882e+02 9.986152766350689935e-01
1.769864460960343422e+02 9.988818792925999723e-01
2.228127345334363838e+02 9.991787894963380934e-01
2.805046135754906231e+02 9.995006101880686833e-01
3.531343861556885599e+02 9.996699328005826946e-01
4.445698525097302536e+02 1.000036981777447931e+00
5.596802846420847573e+02 9.999810255526473401e-01
7.045957328161139230e+02 9.999394333547411140e-01
8.870334730839383610e+02 1.000016113660437966e+00
