# theta, gamma_x
2.805046135754908576e+00 6.631264367755197167e-06
3.531343861556885511e+00 -1.454499886906776316e-06
4.445698525097306231e+00 -6.919272392948108317e-06
5.596802846420849242e+00 -6.623715607459608728e-06
7.045957328161134292e+00 -7.021266691551838993e-06
8.870334730839386950e+00 -1.669438838964561858e-06
1.116708980377407912e+01 1.531295247695150911e-06
1.405853312975872704e+01 -1.318782262120824175e-06
1.769864460960344488e+01 4.815408261562974403e-06
2.228127345334363341e+01 4.967201567980907275e-06
2.805046135754907866e+01 -5.701063979510767113e-08
3.531343861556884889e+01 2.942897827262179223e-06
4.445698525097307652e+01 3.926923899518568840e-06
5.596802846420851552e+01 3.059068468276222563e-06
7.045957328161131272e+01 2.751846148259958823e-06
8.870334730839388726e+01 2.900683326470203553e-06
1.116708980377407130e+02 3.459444625403334202e-08
1.405853312975872882e+02 -3.850643980568261600e-06
1.769864460960343422e+02 -6.514813154222469751e-06
2.228127345334363838e+02 -5.361936568467688342e-06
2.805046135754906231e+02 -5.133695806770113784e-06
3.531343861556885599e+02 -5.566397857584362879e-06
4.445698525097302536e+02 -6.628240660235370152e-06
5.596802846420847573e+02 -8.669040150231654707e-06
7.045957328161139230e+02 -1.121847632493352128e-05
8.870334730839383610e+02 -1.236167961951538781e-05
