# theta, gamma_x
2.805046135754908576e+00 -6.381341690477306912e-06
3.531343861556885511e+00 -2.928304391405775292e-06
4.445698525097306231e+00 -3.387714960036839830e-06
5.596802846420849242e+00 -7.376857017260780143e-06
7.045957328161134292e+00 -3.966950872579915148e-06
8.870334730839386950e+00 1.552596872563976402e-06
1.116708980377407912e+01 3.708930636984126854e-06
1.405853312975872704e+01 -1.610031624495619504e-06
1.769864460960344488e+01 3.000215035287410664e-06
2.228127345334363341e+01 6.361759534094984344e-06
2.805046135754907866e+01 -3.748483217021707743e-07
3.531343861556884889e+01 3.781744588596087261e-06
4.445698525097307652e+01 4.100113452920702811e-06
5.596802846420851552e+01 3.370445842499988739e-06
7.045957328161131272e+01 2.938355627060925148e-06
8.870334730839388726e+01 2.877146395630745841e-06
1.116708980377407130e+02 -3.307771053246124945e-07
1.405853312975872882e+02 -3.689442257189063329e-06
1.769864460960343422e+02 -6.565083924339016217e-06
2.228127345334363838e+02 -5.503836842157311126e-06
2.805046135754906231e+02 -5.396521797085264135e-06
3.531343861556885599e+02 -5.655542975324593226e-06
4.445698525097302536e+02 -6.574695711137146628e-06
5.596802846420847573e+02 -8.646888221275626749e-06
7.045957328161139230e+02 -1.111457438008636950e-05
8.870334730839383610e+02 -1.232516037114557075e-05
