# theta, gamma_x
2.805046135754908576e+00 5.012251750736726124e-07
3.531343861556885511e+00 -1.699908978783609428e-06
4.445698525097306231e+00 -5.891938875068782423e-06
5.596802846420849242e+00 -1.167235758510088080e-05
7.045957328161134292e+00 -5.118788052660948577e-06
8.870334730839386950e+00 -7.450785396634724831e-07
1.116708980377407912e+01 4.488963442124959252e-06
1.405853312975872704e+01 -1.352434308590115683e-06
1.769864460960344488e+01 4.902809348492760905e-06
2.228127345334363341e+01 3.963618545416926857e-06
2.805046135754907866e+01 2.027034476961542694e-07
3.531343861556884889e+01 3.004131918135884113e-06
4.445698525097307652e+01 3.194249994662791565e-06
5.596802846420851552e+01 2.091420415881865105e-06
7.045957328161131272e+01 1.811981492938637406e-06
8.870334730839388726e+01 2.014783989645952842e-06
1.116708980377407130e+02 -6.566023808820304900e-07
1.405853312975872882e+02 -3.705233437612999616e-06
1.769864460960343422e+02 -6.364012263600738304e-06
2.228127345334363838e+02 -5.805128950913197125e-06
2.805046135754906231e+02 -5.818256896164405890e-06
3.531343861556885599e+02 -6.500365028315190525e-06
4.445698525097302536e+02 -7.557384635984664060e-06
5.596802846420847573e+02 -9.577463719471746945e-06
7.045957328161139230e+02 -1.213525298591479612e-05
8.870334730839383610e+02 -1.340634707166444318e-05
