# theta, boost
2.805046135754908576e+00 9.956238376386041811e-01
3.531343861556885511e+00 9.961006220014303469e-01
4.445698525097306231e+00 9.960380381683264783e-01
5.596802846420849242e+00 9.962247395417962448e-01
7.045957328161134292e+00 9.963084943280089423e-01
8.870334730839386950e+00 9.967203447044652442e-01
1.116708980377407912e+01 9.967702553209562000e-01
1.405853312975872704e+01 9.971879861979560111e-01
1.769864460960344488e+01 9.974029433973456982e-01
2.228127345334363341e+01 9.977245294050344215e-01
2.805046135754907866e+01 9.975762623034327703e-01
3.531343861556884889e+01 9.977851128446993956e-01
4.445698525097307652e+01 9.981298851851503340e-01
5.596802846420851552e+01 9.981632279103888061e-01
7.045957328161131272e+01 9.981450095578248138e-01
8.870334730839388726e+01 9.979464151358058421e-01
1.116708980377407130e+02 9.977150047766126795e-01
1.405853312975872882e+02 9.975425024191200141e-01
1.769864460960343422e+02 9.975365030963280200e-01
2.228127345334363838e+02 9.976528170063359013e-01
2.805046135754906231e+02 9.981925349614348963e-01
3.531343861556885599e+02 9.984736440368914279e-01
4.445698525097302536e+02 9.987489545809590252e-01
5.596802846420847573e+02 9.978200592368310362e-01
7.045957328161139230e+02 9.980939746510033572e-01
8.870334730839383610e+02 9.998939015443127909e-01
