# theta, boost
2.805046135754908576e+00 1.000062304708082106e+00
3.531343861556885511e+00 1.000625074504986722e+00
4.445698525097306231e+00 1.000196129144020230e+00
5.596802846420849242e+00 9.998035678639091151e-01
7.045957328161134292e+00 9.999837228594971039e-01
8.870334730839386950e+00 1.000030259435950697e+00
1.116708980377407912e+01 9.996945015639471244e-01
1.405853312975872704e+01 9.996916558513759821e-01
1.769864460960344488e+01 9.998128215740228475e-01
2.228127345334363341e+01 9.997755767359469692e-01
2.805046135754907866e+01 9.997113137567081864e-01
3.531343861556884889e+01 9.998971553739849361e-01
4.445698525097307652e+01 1.000009359120000330e+00
5.596802846420851552e+01 1.000085492410854426e+00
7.045957328161131272e+01 1.000246250657538027e+00
8.870334730839388726e+01 1.000354994478495074e+00
1.116708980377407130e+02 1.000394015311545370e+00
1.405853312975872882e+02 1.000301732296530410e+00
1.769864460960343422e+02 1.000376368658054238e+00
2.228127345334363838e+02 1.000555744748899523e+00
2.805046135754906231e+02 1.000680388850424096e+00
3.531343861556885599e+02 1.000807165613592176e+00
4.445698525097302536e+02 1.000927995487938205e+00
5.596802846420847573e+02 1.000535172727191835e+00
7.045957328161139230e+02 1.000184882995438507e+00
8.870334730839383610e+02 1.000233607659255508e+00
