# theta, gammat_err
2.805046135754908576e+00 4.761354213892745289e-05
3.531343861556885511e+00 4.173369544564807190e-05
4.445698525097306231e+00 3.143042507659207151e-05
5.596802846420849242e+00 2.256846590810390087e-05
7.045957328161134292e+00 1.849653043893037966e-05
8.870334730839386950e+00 1.617882233166130553e-05
1.116708980377407912e+01 1.319144372347736567e-05
1.405853312975872704e+01 1.082323342898863876e-05
1.769864460960344488e+01 9.645924813235088444e-06
2.228127345334363341e+01 8.353383949178065429e-06
2.805046135754907866e+01 7.215616540927180334e-06
3.531343861556884889e+01 6.510815072670287692e-06
4.445698525097307652e+01 5.693471313439560349e-06
5.596802846420851552e+01 5.641847111925339695e-06
7.045957328161131272e+01 5.211127577984920113e-06
8.870334730839388726e+01 5.287196902444145909e-06
1.116708980377407130e+02 4.961957458020685961e-06
1.405853312975872882e+02 4.824874581389453228e-06
1.769864460960343422e+02 4.820141127437310008e-06
2.228127345334363838e+02 4.826538518897242139e-06
2.805046135754906231e+02 4.726266448511597115e-06
3.531343861556885599e+02 3.390446457040448829e-06
4.445698525097302536e+02 3.175837509328749321e-06
5.596802846420847573e+02 2.805280695383067703e-06
7.045957328161139230e+02 2.222882268663169178e-06
8.870334730839383610e+02 2.126852107350101941e-06
