# theta, gammat_err
2.805046135754908576e+00 4.224486918029115380e-05
3.531343861556885511e+00 3.114939498057982145e-05
4.445698525097306231e+00 2.744921896257969716e-05
5.596802846420849242e+00 2.202091212823576770e-05
7.045957328161134292e+00 1.642168274080514918e-05
8.870334730839386950e+00 1.439369470627492911e-05
1.116708980377407912e+01 1.267720683981588529e-05
1.405853312975872704e+01 1.102981607673321048e-05
1.769864460960344488e+01 8.647636197319674388e-06
2.228127345334363341e+01 8.015594094776544486e-06
2.805046135754907866e+01 6.906568307529567954e-06
3.531343861556884889e+01 6.162536684003682429e-06
4.445698525097307652e+01 5.943816298845076506e-06
5.596802846420851552e+01 5.671723898954278673e-06
7.045957328161131272e+01 5.562752093836276569e-06
8.870334730839388726e+01 5.431005125557629770e-06
1.116708980377407130e+02 5.534265644171464872e-06
1.405853312975872882e+02 4.908375421857510721e-06
1.769864460960343422e+02 4.635618902903126316e-06
2.228127345334363838e+02 4.250130831258665973e-06
2.805046135754906231e+02 3.803636746187527999e-06
3.531343861556885599e+02 3.670823624984002630e-06
4.445698525097302536e+02 2.879586421708048505e-06
5.596802846420847573e+02 2.241988938654312397e-06
7.045957328161139230e+02 1.953795514212038464e-06
8.870334730839383610e+02 1.800613260450516067e-06
