# theta, gammat_shot_noise
2.805046135754908576e+00 1.613514749122106401e-09
3.531343861556885511e+00 1.099020269179871266e-09
4.445698525097306231e+00 7.536960933118186362e-10
5.596802846420849242e+00 4.398913611931180024e-10
7.045957328161134292e+00 3.403725925218807403e-10
8.870334730839386950e+00 2.101162758773918156e-10
1.116708980377407912e+01 1.663003098297310181e-10
1.405853312975872704e+01 1.246528617987824627e-10
1.769864460960344488e+01 1.185468270834378158e-10
2.228127345334363341e+01 8.818228057253780167e-11
2.805046135754907866e+01 7.511651634206730744e-11
3.531343861556884889e+01 8.017465403131339158e-11
4.445698525097307652e+01 1.066923325017910991e-10
5.596802846420851552e+01 1.365321350842691709e-10
7.045957328161131272e+01 1.622919276658509993e-10
8.870334730839388726e+01 2.155000740383601484e-10
1.116708980377407130e+02 3.192171492448273532e-10
1.405853312975872882e+02 5.059290291771091981e-10
1.769864460960343422e+02 7.170632313357952759e-10
2.228127345334363838e+02 1.061449841167021357e-09
2.805046135754906231e+02 1.326189091947038020e-09
3.531343861556885599e+02 1.314294019636693938e-09
4.445698525097302536e+02 1.159310326669613713e-09
5.596802846420847573e+02 8.711473585297400849e-10
7.045957328161139230e+02 7.703506858347396820e-10
8.870334730839383610e+02 7.045390693524892434e-10
