# theta, gammat_shot_noise
2.805046135754908576e+00 1.557559172409813874e-09
3.531343861556885511e+00 1.272147976288738887e-09
4.445698525097306231e+00 7.389539208615364277e-10
5.596802846420849242e+00 5.474589472090032425e-10
7.045957328161134292e+00 4.119935705199676683e-10
8.870334730839386950e+00 3.030832596049336248e-10
1.116708980377407912e+01 1.991494724206088925e-10
1.405853312975872704e+01 1.447906935300623038e-10
1.769864460960344488e+01 1.402158862987743785e-10
2.228127345334363341e+01 1.048223213814605904e-10
2.805046135754907866e+01 1.020620722688338427e-10
3.531343861556884889e+01 1.091733150167176080e-10
4.445698525097307652e+01 1.164585962909726921e-10
5.596802846420851552e+01 1.370121093219327972e-10
7.045957328161131272e+01 2.041940103420382748e-10
8.870334730839388726e+01 2.579481925658762879e-10
1.116708980377407130e+02 3.639129172539612346e-10
1.405853312975872882e+02 5.370030545671824681e-10
1.769864460960343422e+02 7.299970281589471778e-10
2.228127345334363838e+02 1.051623556134655795e-09
2.805046135754906231e+02 1.282292927756847839e-09
3.531343861556885599e+02 1.322752054267331556e-09
4.445698525097302536e+02 1.171043600827449685e-09
5.596802846420847573e+02 8.593862499339715595e-10
7.045957328161139230e+02 7.846577373843600055e-10
8.870334730839383610e+02 6.987814182119961230e-10
