# theta, gammat_shot_noise
2.805046135754908576e+00 2.468883855730984643e-09
3.531343861556885511e+00 1.636010389176631552e-09
4.445698525097306231e+00 9.670926489525368829e-10
5.596802846420849242e+00 6.149942814142809472e-10
7.045957328161134292e+00 3.974924405182844385e-10
8.870334730839386950e+00 3.057289320017492974e-10
1.116708980377407912e+01 2.245340946466477431e-10
1.405853312975872704e+01 1.467804239648104396e-10
1.769864460960344488e+01 8.689738755243599941e-11
2.228127345334363341e+01 7.774563401023077952e-11
2.805046135754907866e+01 6.144341183067672492e-11
3.531343861556884889e+01 6.080693955905335644e-11
4.445698525097307652e+01 6.967243004065822510e-11
5.596802846420851552e+01 7.501805317644691462e-11
7.045957328161131272e+01 8.535156864668928111e-11
8.870334730839388726e+01 1.247665859743719085e-10
1.116708980377407130e+02 1.894973080391697826e-10
1.405853312975872882e+02 2.928876860016743474e-10
1.769864460960343422e+02 4.267161696793747651e-10
2.228127345334363838e+02 5.900774019026390638e-10
2.805046135754906231e+02 6.753357307996957480e-10
3.531343861556885599e+02 6.597759151884595276e-10
4.445698525097302536e+02 5.402215654512401187e-10
5.596802846420847573e+02 4.437030819742815964e-10
7.045957328161139230e+02 4.301509495980904676e-10
8.870334730839383610e+02 3.904263029715231776e-10
