# theta, gammat_shot_noise
2.805046135754908576e+00 1.802964807770515883e-09
3.531343861556885511e+00 1.438550963385666063e-09
4.445698525097306231e+00 9.492922162190452056e-10
5.596802846420849242e+00 5.624364288563717175e-10
7.045957328161134292e+00 3.714371226322645921e-10
8.870334730839386950e+00 3.155919035816532563e-10
1.116708980377407912e+01 2.068867047034742588e-10
1.405853312975872704e+01 1.397723049674039190e-10
1.769864460960344488e+01 1.208740685250298501e-10
2.228127345334363341e+01 1.058769684833058587e-10
2.805046135754907866e+01 6.677594064380487794e-11
3.531343861556884889e+01 8.529938349029847842e-11
4.445698525097307652e+01 9.301565026255282802e-11
5.596802846420851552e+01 1.201165762392740206e-10
7.045957328161131272e+01 1.338157394919172394e-10
8.870334730839388726e+01 1.850462784606377096e-10
1.116708980377407130e+02 2.793249404411379085e-10
1.405853312975872882e+02 4.061584602222944879e-10
1.769864460960343422e+02 5.896643231090005397e-10
2.228127345334363838e+02 8.890423226975527734e-10
2.805046135754906231e+02 1.209919367967549386e-09
3.531343861556885599e+02 1.238953431725653569e-09
4.445698525097302536e+02 1.055988434706958186e-09
5.596802846420847573e+02 7.723590154339944375e-10
7.045957328161139230e+02 6.622050430922050941e-10
8.870334730839383610e+02 6.572974439109228252e-10
