# theta, boost
2.805046135754908576e+00 1.000404966980303900e+00
3.531343861556885511e+00 1.000513125732358066e+00
4.445698525097306231e+00 9.999485287586098448e-01
5.596802846420849242e+00 1.000067303373252114e+00
7.045957328161134292e+00 9.998483028399942629e-01
8.870334730839386950e+00 9.997597818569485817e-01
1.116708980377407912e+01 9.996580549119473691e-01
1.405853312975872704e+01 9.996124039562203079e-01
1.769864460960344488e+01 9.994345150954735413e-01
2.228127345334363341e+01 9.996062546019592876e-01
2.805046135754907866e+01 9.997300369904764672e-01
3.531343861556884889e+01 9.997099563586744342e-01
4.445698525097307652e+01 9.997239191685193260e-01
5.596802846420851552e+01 9.995676506904899172e-01
7.045957328161131272e+01 9.994542275572905199e-01
8.870334730839388726e+01 9.992761059693846537e-01
1.116708980377407130e+02 9.989037688874086163e-01
1.405853312975872882e+02 9.988285240152301458e-01
1.769864460960343422e+02 9.990270237795813024e-01
2.228127345334363838e+02 9.993904569805295290e-01
2.805046135754906231e+02 9.995656146068336856e-01
3.531343861556885599e+02 9.996601038560373187e-01
4.445698525097302536e+02 1.000044197375977051e+00
5.596802846420847573e+02 9.999699164442545918e-01
7.045957328161139230e+02 9.998951752502109880e-01
8.870334730839383610e+02 1.000050021172296466e+00
