# theta, boost
2.805046135754908576e+00 1.012142161933511364e+00
3.531343861556885511e+00 1.010959864035400058e+00
4.445698525097306231e+00 1.009745313687995028e+00
5.596802846420849242e+00 1.008202845210903309e+00
7.045957328161134292e+00 1.007132380984181452e+00
8.870334730839386950e+00 1.006037309138762881e+00
1.116708980377407912e+01 1.005180128064977252e+00
1.405853312975872704e+01 1.004640744081608528e+00
1.769864460960344488e+01 1.003844499347306352e+00
2.228127345334363341e+01 1.003452320196634551e+00
2.805046135754907866e+01 1.002957972505355233e+00
3.531343861556884889e+01 1.002638722198121446e+00
4.445698525097307652e+01 1.002392260085168907e+00
5.596802846420851552e+01 1.002044918955125263e+00
7.045957328161131272e+01 1.001761359702280085e+00
8.870334730839388726e+01 1.001530309185941103e+00
1.116708980377407130e+02 1.001271910184814873e+00
1.405853312975872882e+02 1.001421687821247186e+00
1.769864460960343422e+02 1.001575947459612426e+00
2.228127345334363838e+02 1.001756263268461788e+00
2.805046135754906231e+02 1.001887566701419097e+00
3.531343861556885599e+02 1.001852961555421251e+00
4.445698525097302536e+02 1.001426440781453708e+00
5.596802846420847573e+02 1.000533558578193816e+00
7.045957328161139230e+02 1.000307505722693113e+00
8.870334730839383610e+02 1.000541040914432189e+00
