# theta, boost
2.805046135754908576e+00 9.999524683616031195e-01
3.531343861556885511e+00 1.000257730916261911e+00
4.445698525097306231e+00 1.000283848338270554e+00
5.596802846420849242e+00 1.000065850645656784e+00
7.045957328161134292e+00 1.000176179260172660e+00
8.870334730839386950e+00 9.999769818727006765e-01
1.116708980377407912e+01 9.999969388146485727e-01
1.405853312975872704e+01 1.000055157650979965e+00
1.769864460960344488e+01 1.000268251281781762e+00
2.228127345334363341e+01 1.000311045972998691e+00
2.805046135754907866e+01 1.000344589482224489e+00
3.531343861556884889e+01 1.000186874070099874e+00
4.445698525097307652e+01 1.000005027029763571e+00
5.596802846420851552e+01 9.998806490795841828e-01
7.045957328161131272e+01 9.998426624178924360e-01
8.870334730839388726e+01 9.998047807286133404e-01
1.116708980377407130e+02 9.997241631973641240e-01
1.405853312975872882e+02 9.998670575483573630e-01
1.769864460960343422e+02 1.000324041458579449e+00
2.228127345334363838e+02 1.000832749892349716e+00
2.805046135754906231e+02 1.001211307721979527e+00
3.531343861556885599e+02 1.001093766396656815e+00
4.445698525097302536e+02 1.000657040917139584e+00
5.596802846420847573e+02 9.998817509368566059e-01
7.045957328161139230e+02 9.992493417443357728e-01
8.870334730839383610e+02 9.998535610084322567e-01
