# theta, gammat_err
2.805046135754908576e+00 6.397983770274039150e-05
3.531343861556885511e+00 5.185497324258029890e-05
4.445698525097306231e+00 3.958297549258348789e-05
5.596802846420849242e+00 3.088691426399329057e-05
7.045957328161134292e+00 2.518630605390121213e-05
8.870334730839386950e+00 1.889277555827348771e-05
1.116708980377407912e+01 1.648657912168126501e-05
1.405853312975872704e+01 1.353458628713605540e-05
1.769864460960344488e+01 1.106387366628177318e-05
2.228127345334363341e+01 1.100347507286930650e-05
2.805046135754907866e+01 8.882406317800437467e-06
3.531343861556884889e+01 8.366745159072256036e-06
4.445698525097307652e+01 7.008762814334538758e-06
5.596802846420851552e+01 7.211493367371562525e-06
7.045957328161131272e+01 6.521035508081687397e-06
8.870334730839388726e+01 6.382186178648233582e-06
1.116708980377407130e+02 6.110955078745611249e-06
1.405853312975872882e+02 6.196863288541611223e-06
1.769864460960343422e+02 6.206948260727436095e-06
2.228127345334363838e+02 7.172886590309527254e-06
2.805046135754906231e+02 6.934008273142821467e-06
3.531343861556885599e+02 5.921070962994416107e-06
4.445698525097302536e+02 5.038458136544074556e-06
5.596802846420847573e+02 4.585512120228415456e-06
7.045957328161139230e+02 3.876699058828663611e-06
8.870334730839383610e+02 4.296612427068810363e-06
