# theta, gammat_err
2.805046135754908576e+00 6.277089065520515682e-05
3.531343861556885511e+00 5.157314729468353263e-05
4.445698525097306231e+00 3.904775747755627929e-05
5.596802846420849242e+00 3.151285989956802684e-05
7.045957328161134292e+00 2.490133529845681997e-05
8.870334730839386950e+00 2.130478441108200552e-05
1.116708980377407912e+01 1.847141299353692814e-05
1.405853312975872704e+01 1.446343279442566925e-05
1.769864460960344488e+01 1.075789277347807206e-05
2.228127345334363341e+01 1.010187403951468957e-05
2.805046135754907866e+01 7.854244091853534001e-06
3.531343861556884889e+01 7.630659419354954154e-06
4.445698525097307652e+01 7.111326796914152900e-06
5.596802846420851552e+01 6.467981848197535666e-06
7.045957328161131272e+01 5.762575462612522378e-06
8.870334730839388726e+01 5.746099836242087697e-06
1.116708980377407130e+02 5.186520410660658960e-06
1.405853312975872882e+02 5.251723536363366845e-06
1.769864460960343422e+02 5.292558525941763579e-06
2.228127345334363838e+02 5.616249527264421974e-06
2.805046135754906231e+02 5.110505329551966251e-06
3.531343861556885599e+02 4.554036517494258282e-06
4.445698525097302536e+02 3.750636368875304294e-06
5.596802846420847573e+02 3.203166561893719525e-06
7.045957328161139230e+02 3.213314442018164925e-06
8.870334730839383610e+02 2.975374653948051987e-06
