# theta, gamma_x
2.805046135754908576e+00 3.697957844425651283e-07
3.531343861556885511e+00 -5.297228851466575389e-08
4.445698525097306231e+00 6.178464170167575572e-07
5.596802846420849242e+00 -5.229913280345223098e-07
7.045957328161134292e+00 1.260680669785449921e-07
8.870334730839386950e+00 -4.861031039347170154e-08
1.116708980377407912e+01 -3.353089191024532398e-07
1.405853312975872704e+01 -1.436601141674611605e-07
1.769864460960344488e+01 5.757428624645996080e-09
2.228127345334363341e+01 3.338813472821156375e-07
2.805046135754907866e+01 2.172827967931599333e-07
3.531343861556884889e+01 2.952285174919723507e-07
4.445698525097307652e+01 3.100411170894174211e-07
5.596802846420851552e+01 2.025635966377177951e-07
7.045957328161131272e+01 2.899621303949099817e-07
8.870334730839388726e+01 3.557575463473081742e-07
1.116708980377407130e+02 4.514755329210203309e-07
1.405853312975872882e+02 6.230977772804244421e-07
1.769864460960343422e+02 9.492447355271447268e-07
2.228127345334363838e+02 9.715477086501299594e-07
2.805046135754906231e+02 1.049726223248846660e-06
3.531343861556885599e+02 9.144960168978421561e-07
4.445698525097302536e+02 8.229313964855485669e-07
5.596802846420847573e+02 6.382823663438217659e-07
7.045957328161139230e+02 -4.992575625057996188e-08
8.870334730839383610e+02 -1.242143928850885927e-06
