# theta, gamma_t
2.805046135754908576e+00 4.571184702488502319e-04
3.531343861556885511e+00 4.000815494274448858e-04
4.445698525097306231e+00 2.852230377198249067e-04
5.596802846420849242e+00 2.198217007027326072e-04
7.045957328161134292e+00 1.872049276302476320e-04
8.870334730839386950e+00 2.090810119775736225e-04
1.116708980377407912e+01 1.536918019507158115e-04
1.405853312975872704e+01 1.281914654789057385e-04
1.769864460960344488e+01 1.321153425798597485e-04
2.228127345334363341e+01 1.226074634391163473e-04
2.805046135754907866e+01 9.945503289879341954e-05
3.531343861556884889e+01 9.054892745543170968e-05
4.445698525097307652e+01 7.778584677604948126e-05
5.596802846420851552e+01 6.698737525077354336e-05
7.045957328161131272e+01 5.658430806226444484e-05
8.870334730839388726e+01 4.092325794931664531e-05
1.116708980377407130e+02 3.558280327857211008e-05
1.405853312975872882e+02 2.574575961187816075e-05
1.769864460960343422e+02 1.753005851296166737e-05
2.228127345334363838e+02 9.946656435516972619e-06
2.805046135754906231e+02 3.613774685257021554e-06
3.531343861556885599e+02 5.287644092720779569e-06
4.445698525097302536e+02 6.709282536491297364e-06
5.596802846420847573e+02 4.214743674900929965e-06
7.045957328161139230e+02 2.619957564401979517e-06
8.870334730839383610e+02 1.722802661864404812e-06
