# theta, gammat_err
2.805046135754908576e+00 4.780822657535540855e-05
3.531343861556885511e+00 3.927226718308995587e-05
4.445698525097306231e+00 3.434296883085818106e-05
5.596802846420849242e+00 2.966361163505138357e-05
7.045957328161134292e+00 2.252559403804014484e-05
8.870334730839386950e+00 1.928223943806850287e-05
1.116708980377407912e+01 1.570045451707066704e-05
1.405853312975872704e+01 1.282414083284719267e-05
1.769864460960344488e+01 1.114768258452133220e-05
2.228127345334363341e+01 9.687167982047128364e-06
2.805046135754907866e+01 8.529597126435409230e-06
3.531343861556884889e+01 7.254179482559862353e-06
4.445698525097307652e+01 6.599843382687730543e-06
5.596802846420851552e+01 5.640516607474704613e-06
7.045957328161131272e+01 5.438503564148575838e-06
8.870334730839388726e+01 4.983207101502783747e-06
1.116708980377407130e+02 5.266531563269443439e-06
1.405853312975872882e+02 4.823543015314266519e-06
1.769864460960343422e+02 4.702216338446146050e-06
2.228127345334363838e+02 4.423255527005945957e-06
2.805046135754906231e+02 4.307231007736897869e-06
3.531343861556885599e+02 3.861802937725078822e-06
4.445698525097302536e+02 3.334250509695078554e-06
5.596802846420847573e+02 2.867496229633950639e-06
7.045957328161139230e+02 2.525802755613849820e-06
8.870334730839383610e+02 2.206326421269006624e-06
