# theta, gammat_err
2.805046135754908576e+00 4.728462251712568088e-05
3.531343861556885511e+00 3.804393894081523650e-05
4.445698525097306231e+00 2.960264288563542183e-05
5.596802846420849242e+00 2.384050569102181476e-05
7.045957328161134292e+00 2.084155146014495292e-05
8.870334730839386950e+00 1.757550114934859254e-05
1.116708980377407912e+01 1.277702275055390572e-05
1.405853312975872704e+01 1.134861307647705368e-05
1.769864460960344488e+01 1.077396208236998143e-05
2.228127345334363341e+01 7.804127475723572166e-06
2.805046135754907866e+01 7.845996937711103786e-06
3.531343861556884889e+01 7.168285957075041434e-06
4.445698525097307652e+01 6.035041168545951774e-06
5.596802846420851552e+01 5.076015920346632481e-06
7.045957328161131272e+01 5.083696119349584186e-06
8.870334730839388726e+01 4.833129435504525529e-06
1.116708980377407130e+02 4.428640202145826226e-06
1.405853312975872882e+02 3.915691555089860470e-06
1.769864460960343422e+02 3.283802327859608297e-06
2.228127345334363838e+02 2.964499570877864607e-06
2.805046135754906231e+02 3.129274950548834811e-06
3.531343861556885599e+02 2.578583769265735900e-06
4.445698525097302536e+02 2.177935445805455144e-06
5.596802846420847573e+02 1.718568107425232117e-06
7.045957328161139230e+02 1.522385368908318846e-06
8.870334730839383610e+02 1.518269893239999888e-06
