# theta, boost
2.805046135754908576e+00 9.991748445257022659e-01
3.531343861556885511e+00 9.993072376354887876e-01
4.445698525097306231e+00 9.993459079186779448e-01
5.596802846420849242e+00 9.990298226629541478e-01
7.045957328161134292e+00 9.992053118532965295e-01
8.870334730839386950e+00 9.994535490903175834e-01
1.116708980377407912e+01 9.994165712660263434e-01
1.405853312975872704e+01 9.994622846310116104e-01
1.769864460960344488e+01 9.994826254720210468e-01
2.228127345334363341e+01 9.995753335865822375e-01
2.805046135754907866e+01 9.995397267560579557e-01
3.531343861556884889e+01 9.996308426506145262e-01
4.445698525097307652e+01 9.996990770771010393e-01
5.596802846420851552e+01 9.998017185260343886e-01
7.045957328161131272e+01 9.998206042914277170e-01
8.870334730839388726e+01 9.994945301987929742e-01
1.116708980377407130e+02 9.992532340392467072e-01
1.405853312975872882e+02 9.991400092661723020e-01
1.769864460960343422e+02 9.991237043914571458e-01
2.228127345334363838e+02 9.992829864923568062e-01
2.805046135754906231e+02 9.994920553179664768e-01
3.531343861556885599e+02 9.997602084943586487e-01
4.445698525097302536e+02 9.996386336992684196e-01
5.596802846420847573e+02 9.988526336536707184e-01
7.045957328161139230e+02 9.985418155443692712e-01
8.870334730839383610e+02 9.990189397951951822e-01
