# theta, boost
2.805046135754908576e+00 9.998779546326318490e-01
3.531343861556885511e+00 9.998915503576727426e-01
4.445698525097306231e+00 1.000389440730890422e+00
5.596802846420849242e+00 1.000189191282957912e+00
7.045957328161134292e+00 1.000099782417149807e+00
8.870334730839386950e+00 1.000244231707285270e+00
1.116708980377407912e+01 1.000102031901655586e+00
1.405853312975872704e+01 1.000227313551400599e+00
1.769864460960344488e+01 1.000324566048249375e+00
2.228127345334363341e+01 1.000471544459489603e+00
2.805046135754907866e+01 1.000438501560027227e+00
3.531343861556884889e+01 1.000506467159262058e+00
4.445698525097307652e+01 1.000559242324480458e+00
5.596802846420851552e+01 1.000606022666906902e+00
7.045957328161131272e+01 1.000675242323554759e+00
8.870334730839388726e+01 1.000453898658234975e+00
1.116708980377407130e+02 1.000263330319531851e+00
1.405853312975872882e+02 1.000292558131327780e+00
1.769864460960343422e+02 1.000586276778057337e+00
2.228127345334363838e+02 1.000466288519969105e+00
2.805046135754906231e+02 1.000727288879976751e+00
3.531343861556885599e+02 1.000719060973141117e+00
4.445698525097302536e+02 9.999326500185233835e-01
5.596802846420847573e+02 9.994207223246720506e-01
7.045957328161139230e+02 9.993318022217001495e-01
8.870334730839383610e+02 1.000106012298007441e+00
