# theta, gammat_shot_noise
2.805046135754908576e+00 1.822528413592350752e-09
3.531343861556885511e+00 1.274933230716912450e-09
4.445698525097306231e+00 8.405997834857980635e-10
5.596802846420849242e+00 6.038247943819087753e-10
7.045957328161134292e+00 3.916699677542660795e-10
8.870334730839386950e+00 2.502246490143945242e-10
1.116708980377407912e+01 1.578252454343340066e-10
1.405853312975872704e+01 1.440587838948577061e-10
1.769864460960344488e+01 1.091371596866682356e-10
2.228127345334363341e+01 1.052287270360332832e-10
2.805046135754907866e+01 7.373222428614412524e-11
3.531343861556884889e+01 8.104197377609946361e-11
4.445698525097307652e+01 8.892517256556864125e-11
5.596802846420851552e+01 1.078249823525845107e-10
7.045957328161131272e+01 1.620621040393394499e-10
8.870334730839388726e+01 2.179034722394048418e-10
1.116708980377407130e+02 3.356599974824154287e-10
1.405853312975872882e+02 5.037124968539938833e-10
1.769864460960343422e+02 7.011556028059034783e-10
2.228127345334363838e+02 1.044847635086433008e-09
2.805046135754906231e+02 1.319161794780822424e-09
3.531343861556885599e+02 1.300141308659420914e-09
4.445698525097302536e+02 1.140890254811702855e-09
5.596802846420847573e+02 8.839224992811466034e-10
7.045957328161139230e+02 7.821980649009610563e-10
8.870334730839383610e+02 7.057143919317738723e-10
