# theta, gammat_shot_noise
2.805046135754705627e+00 2.045735324975422570e-09
3.531343861556119457e+00 1.270252580264637979e-09
4.445698525095699516e+00 6.729346899938503025e-10
5.596802846418014177e+00 4.825016102140080388e-10
7.045957328156546851e+00 3.474251131459329863e-10
8.870334730832327708e+00 2.084561007986617457e-10
1.116708980376357552e+01 1.634729599689316210e-10
1.405853312974346814e+01 1.092059071925079856e-10
1.769864460958168095e+01 7.772446462579358815e-11
2.228127345331300901e+01 6.539985257948774375e-11
2.805046135750647807e+01 5.312271416543161444e-11
3.531343861551010122e+01 4.593576791888231181e-11
4.445698525089266440e+01 4.696014272525902651e-11
5.596802846409915588e+01 5.410764479712698706e-11
7.045957328146349141e+01 5.873485668869529993e-11
8.870334730819496372e+01 6.911883808460552344e-11
1.116708980374742026e+02 7.719262873435470035e-11
1.405853312972313063e+02 1.065086603969587975e-10
1.769864460955607228e+02 1.488063622912643376e-10
2.228127345328078661e+02 2.106033523557431859e-10
2.805046135746590039e+02 2.949342469521234183e-10
3.531343861545901746e+02 3.303639921875138454e-10
4.445698525082834749e+02 2.963026396137279273e-10
5.596802846401818670e+02 2.479453155070668053e-10
7.045957328136156548e+02 1.909733696848497258e-10
8.870334730806664538e+02 1.969124322793136671e-10
