# theta, gammat_shot_noise
2.805046135754705627e+00 2.711405753579731776e-09
3.531343861556119457e+00 1.523649623176585072e-09
4.445698525095699516e+00 1.044481381808644100e-09
5.596802846418014177e+00 6.556619570684320313e-10
7.045957328156546851e+00 4.893148392913290275e-10
8.870334730832327708e+00 3.748519405187924406e-10
1.116708980376357552e+01 2.239075284327245707e-10
1.405853312974346814e+01 1.908309951708927367e-10
1.769864460958168095e+01 1.177382566173256409e-10
2.228127345331300901e+01 1.126243150170457214e-10
2.805046135750647807e+01 9.489337982079812606e-11
3.531343861551010122e+01 7.399573303143636779e-11
4.445698525089266440e+01 8.040470910010650848e-11
5.596802846409915588e+01 9.182984005224839085e-11
7.045957328146349141e+01 1.304545405893796374e-10
8.870334730819496372e+01 1.639810821180782777e-10
1.116708980374742026e+02 2.401861386527756355e-10
1.405853312972313063e+02 3.773145178311465853e-10
1.769864460955607228e+02 5.300886075375838066e-10
2.228127345328078661e+02 8.108939920083510682e-10
2.805046135746590039e+02 1.124979492944258379e-09
3.531343861545901746e+02 1.256624436245264739e-09
4.445698525082834749e+02 1.049629414111176651e-09
5.596802846401818670e+02 7.834016135987737869e-10
7.045957328136156548e+02 7.402745040288630543e-10
8.870334730806664538e+02 7.609304205284811306e-10
