# theta, gammat_err
2.805046135754908576e+00 5.699871396278931264e-05
3.531343861556885511e+00 4.661785409830926000e-05
4.445698525097306231e+00 3.554441137577220267e-05
5.596802846420849242e+00 2.791905589871957393e-05
7.045957328161134292e+00 2.286887477144198833e-05
8.870334730839386950e+00 1.704548973790953470e-05
1.116708980377407912e+01 1.504618099965400710e-05
1.405853312975872704e+01 1.232197185889064511e-05
1.769864460960344488e+01 1.019080226083921997e-05
2.228127345334363341e+01 1.001472493408730034e-05
2.805046135754907866e+01 8.100464889912463486e-06
3.531343861556884889e+01 7.628566213928926896e-06
4.445698525097307652e+01 6.301439691549859500e-06
5.596802846420851552e+01 6.578545167402357419e-06
7.045957328161131272e+01 5.884634041538510177e-06
8.870334730839388726e+01 5.671963379574960357e-06
1.116708980377407130e+02 5.285241301703757773e-06
1.405853312975872882e+02 5.295121670036913239e-06
1.769864460960343422e+02 4.948311157198221213e-06
2.228127345334363838e+02 5.316368253033361631e-06
2.805046135754906231e+02 5.044614200826065283e-06
3.531343861556885599e+02 4.011428781417613865e-06
4.445698525097302536e+02 3.092434639182853453e-06
5.596802846420847573e+02 2.882723633534347788e-06
7.045957328161139230e+02 2.291444443630530221e-06
8.870334730839383610e+02 2.285257525425452723e-06
