# theta, gammat_err
2.805046135754908576e+00 4.281696506933532976e-05
3.531343861556885511e+00 3.639140967988836593e-05
4.445698525097306231e+00 3.199324424958390687e-05
5.596802846420849242e+00 2.692857913670981414e-05
7.045957328161134292e+00 2.152141085232209304e-05
8.870334730839386950e+00 1.810003289750925033e-05
1.116708980377407912e+01 1.472672554893405954e-05
1.405853312975872704e+01 1.223031040423133706e-05
1.769864460960344488e+01 1.076526174586353877e-05
2.228127345334363341e+01 9.452685141946571526e-06
2.805046135754907866e+01 8.289855319140357857e-06
3.531343861556884889e+01 7.073237848153414147e-06
4.445698525097307652e+01 6.367696941513515264e-06
5.596802846420851552e+01 5.522113128035608641e-06
7.045957328161131272e+01 5.362381859219783079e-06
8.870334730839388726e+01 4.894030126669656073e-06
1.116708980377407130e+02 5.199093387471999536e-06
1.405853312975872882e+02 4.818968354211191701e-06
1.769864460960343422e+02 4.681276058369907489e-06
2.228127345334363838e+02 4.418588733768381735e-06
2.805046135754906231e+02 4.338598258642475853e-06
3.531343861556885599e+02 3.874965914620177172e-06
4.445698525097302536e+02 3.318002622028837469e-06
5.596802846420847573e+02 2.867105751003985549e-06
7.045957328161139230e+02 2.563301236972588132e-06
8.870334730839383610e+02 2.253120044226524505e-06
