# theta, gammat_err
2.805046135754908576e+00 6.474767947774731018e-05
3.531343861556885511e+00 5.302815936091610668e-05
4.445698525097306231e+00 4.325004971709070869e-05
5.596802846420849242e+00 3.726621752158726174e-05
7.045957328161134292e+00 2.961981372189446409e-05
8.870334730839386950e+00 2.307757227935642029e-05
1.116708980377407912e+01 1.824235879702211134e-05
1.405853312975872704e+01 1.674024530853214323e-05
1.769864460960344488e+01 1.329222996682314243e-05
2.228127345334363341e+01 1.321149681140721535e-05
2.805046135754907866e+01 9.692615968679231981e-06
3.531343861556884889e+01 9.531513158104117935e-06
4.445698525097307652e+01 8.529593507811838613e-06
5.596802846420851552e+01 7.771586399983723475e-06
7.045957328161131272e+01 7.829984925926599673e-06
8.870334730839388726e+01 7.148323985952850971e-06
1.116708980377407130e+02 7.680507562250380075e-06
1.405853312975872882e+02 7.299462602316966319e-06
1.769864460960343422e+02 6.914392447583190284e-06
2.228127345334363838e+02 7.279973491959507326e-06
2.805046135754906231e+02 6.535829511062699252e-06
3.531343861556885599e+02 5.407804091783680641e-06
4.445698525097302536e+02 4.612560363256467175e-06
5.596802846420847573e+02 3.980768935527766468e-06
7.045957328161139230e+02 3.277507071788110252e-06
8.870334730839383610e+02 3.290340178619781126e-06
