# theta, gammat_err
2.805046135754908576e+00 2.621954130280400830e-06
3.531343861556885511e+00 2.109785055424523811e-06
4.445698525097306231e+00 1.866530659631871524e-06
5.596802846420849242e+00 1.526284661164251176e-06
7.045957328161134292e+00 1.167796303526704460e-06
8.870334730839386950e+00 8.890582098334912295e-07
1.116708980377407912e+01 8.100718934744309739e-07
1.405853312975872704e+01 7.089756679336421107e-07
1.769864460960344488e+01 5.476896895083373334e-07
2.228127345334363341e+01 4.556338676310720600e-07
2.805046135754907866e+01 4.411664496609272178e-07
3.531343861556884889e+01 3.896388334666897319e-07
4.445698525097307652e+01 3.658473601950052644e-07
5.596802846420851552e+01 3.163625892912637966e-07
7.045957328161131272e+01 3.085156779046631640e-07
8.870334730839388726e+01 2.857380889174627465e-07
1.116708980377407130e+02 2.497863068995012475e-07
1.405853312975872882e+02 2.362807813680835105e-07
1.769864460960343422e+02 2.228056771079261155e-07
2.228127345334363838e+02 2.398897263199580383e-07
2.805046135754906231e+02 2.281352120320110683e-07
3.531343861556885599e+02 1.980546512830068237e-07
4.445698525097302536e+02 1.975610457277808817e-07
5.596802846420847573e+02 1.839625892542752233e-07
7.045957328161139230e+02 1.801256574063718196e-07
8.870334730839383610e+02 1.888107551804873359e-07
