# theta, gammat_shot_noise
2.805046135754908576e+00 1.636533726690674332e-09
3.531343861556885511e+00 1.144414804782520550e-09
4.445698525097306231e+00 7.799171942742965055e-10
5.596802846420849242e+00 5.460676934477717232e-10
7.045957328161134292e+00 3.559197746316884003e-10
8.870334730839386950e+00 2.572415893607707283e-10
1.116708980377407912e+01 1.998207622633904387e-10
1.405853312975872704e+01 1.526624240479753862e-10
1.769864460960344488e+01 1.469932830135430562e-10
2.228127345334363341e+01 1.035306041131630930e-10
2.805046135754907866e+01 8.755081721819681423e-11
3.531343861556884889e+01 8.569165097383981220e-11
4.445698525097307652e+01 1.130457099041747629e-10
5.596802846420851552e+01 1.296080390509324226e-10
7.045957328161131272e+01 1.611348266889541545e-10
8.870334730839388726e+01 2.061663512137312088e-10
1.116708980377407130e+02 3.106988448610023754e-10
1.405853312975872882e+02 4.466701846244868504e-10
1.769864460960343422e+02 6.314582990567343957e-10
2.228127345334363838e+02 8.950602156571315467e-10
2.805046135754906231e+02 1.149022076225974589e-09
3.531343861556885599e+02 1.214345564985597175e-09
4.445698525097302536e+02 1.074852496150629030e-09
5.596802846420847573e+02 8.024018784571589960e-10
7.045957328161139230e+02 6.636253293101591757e-10
8.870334730839383610e+02 6.735878766358646314e-10
