# theta, gammat_shot_noise
2.805046135754908576e+00 1.886014446724608747e-09
3.531343861556885511e+00 1.328765681020138007e-09
4.445698525097306231e+00 8.135490797378731685e-10
5.596802846420849242e+00 6.346607383350465685e-10
7.045957328161134292e+00 4.136024836287844613e-10
8.870334730839386950e+00 2.489626954938270815e-10
1.116708980377407912e+01 1.812379653174035933e-10
1.405853312975872704e+01 1.332075977546086197e-10
1.769864460960344488e+01 8.747325585167091780e-11
2.228127345334363341e+01 7.292375650412730719e-11
2.805046135754907866e+01 5.656543619268407900e-11
3.531343861556884889e+01 6.003834804149310800e-11
4.445698525097307652e+01 5.847127862845825801e-11
5.596802846420851552e+01 6.239068110128377088e-11
7.045957328161131272e+01 8.047385361454260672e-11
8.870334730839388726e+01 8.374418306182830396e-11
1.116708980377407130e+02 9.917755457591496014e-11
1.405853312975872882e+02 1.309709542399999497e-10
1.769864460960343422e+02 1.673257083453859136e-10
2.228127345334363838e+02 2.401779756705998902e-10
2.805046135754906231e+02 3.290074397151008559e-10
3.531343861556885599e+02 3.523158762887562427e-10
4.445698525097302536e+02 3.336069453127917694e-10
5.596802846420847573e+02 2.623142532186023190e-10
7.045957328161139230e+02 2.206111183515857915e-10
8.870334730839383610e+02 2.435108408875820530e-10
