# theta, gamma_t
2.805046135754908576e+00 -4.860954221520940251e-08
3.531343861556885511e+00 -3.319711114647642989e-08
4.445698525097306231e+00 -1.204552786047421951e-07
5.596802846420849242e+00 7.417432993698034570e-09
7.045957328161134292e+00 3.449744180184155354e-09
8.870334730839386950e+00 1.588152967306804167e-08
1.116708980377407912e+01 -3.423128203787022219e-08
1.405853312975872704e+01 -1.058285203124949852e-07
1.769864460960344488e+01 9.696503388602172062e-09
2.228127345334363341e+01 -2.852349765559888516e-08
2.805046135754907866e+01 4.667171812945846961e-08
3.531343861556884889e+01 2.660449093612731890e-08
4.445698525097307652e+01 4.668085915441499729e-08
5.596802846420851552e+01 4.810429097768518362e-08
7.045957328161131272e+01 1.551510768898617605e-07
8.870334730839388726e+01 5.864591608350070071e-08
1.116708980377407130e+02 -4.274387097802945828e-08
1.405853312975872882e+02 -9.548040560270809892e-08
1.769864460960343422e+02 -9.814526565540035039e-08
2.228127345334363838e+02 -1.664825246491415560e-07
2.805046135754906231e+02 -2.607744754622085736e-07
3.531343861556885599e+02 -3.119813264866635848e-07
4.445698525097302536e+02 -4.111934723487331123e-07
5.596802846420847573e+02 -4.674078931781912289e-07
7.045957328161139230e+02 -6.081408426179555090e-07
8.870334730839383610e+02 -7.775939487981610963e-07
