# theta, gammat_shot_noise
2.805046135754908576e+00 4.117441892750076323e-11
3.531343861556885511e+00 3.410086600166934053e-11
4.445698525097306231e+00 2.382647803358826586e-11
5.596802846420849242e+00 1.990313449653073383e-11
7.045957328161134292e+00 1.866319424773231080e-11
8.870334730839386950e+00 1.550087093256255620e-11
1.116708980377407912e+01 1.405702298225937817e-11
1.405853312975872704e+01 1.452162619130321087e-11
1.769864460960344488e+01 1.589734697579798592e-11
2.228127345334363341e+01 1.576541497157165424e-11
2.805046135754907866e+01 1.690719240991287849e-11
3.531343861556884889e+01 2.041160816548691794e-11
4.445698525097307652e+01 2.668658953931852732e-11
5.596802846420851552e+01 3.414105707257535415e-11
7.045957328161131272e+01 4.719577013806890056e-11
8.870334730839388726e+01 6.474786637980494635e-11
1.116708980377407130e+02 8.773310651570539108e-11
1.405853312975872882e+02 1.178840005150535660e-10
1.769864460960343422e+02 1.625275004416415626e-10
2.228127345334363838e+02 2.396576389410433902e-10
2.805046135754906231e+02 3.212705984781939542e-10
3.531343861556885599e+02 3.573899280931262714e-10
4.445698525097302536e+02 3.357454787465235148e-10
5.596802846420847573e+02 2.654084391494729856e-10
7.045957328161139230e+02 2.264821454002761042e-10
8.870334730839383610e+02 2.472449468722192167e-10
