# theta, gammat_err
2.805046135754908576e+00 8.890209914330546974e-07
3.531343861556885511e+00 8.912470789042281373e-07
4.445698525097306231e+00 8.834685098445220243e-07
5.596802846420849242e+00 4.427868292118502935e-07
7.045957328161134292e+00 4.326043049658460914e-07
8.870334730839386950e+00 3.697242845101165203e-07
1.116708980377407912e+01 2.727269847061775611e-07
1.405853312975872704e+01 3.059534372720943892e-07
1.769864460960344488e+01 1.991181200477968071e-07
2.228127345334363341e+01 2.354036518144132976e-07
2.805046135754907866e+01 1.769269348501272699e-07
3.531343861556884889e+01 2.156849293024356244e-07
4.445698525097307652e+01 1.114612627750984943e-07
5.596802846420851552e+01 9.161298389339948353e-08
7.045957328161131272e+01 9.488105353680400168e-08
8.870334730839388726e+01 8.498744216104380062e-08
1.116708980377407130e+02 8.355907867656353564e-08
1.405853312975872882e+02 7.971486438342041456e-08
1.769864460960343422e+02 1.182910437677931150e-07
2.228127345334363838e+02 9.506490519645617377e-08
2.805046135754906231e+02 8.892961511507016301e-08
3.531343861556885599e+02 9.001604139921130658e-08
4.445698525097302536e+02 7.385055842590259396e-08
5.596802846420847573e+02 7.040707034138587494e-08
7.045957328161139230e+02 5.699635973018243103e-08
8.870334730839383610e+02 5.537379368655064425e-08
