# theta, boost
2.805046135754705627e+00 1.021437618576274797e+00
3.531343861556119457e+00 1.020576947899666909e+00
4.445698525095699516e+00 1.018541182334882667e+00
5.596802846418014177e+00 1.016065116457275153e+00
7.045957328156546851e+00 1.014376950065295269e+00
8.870334730832327708e+00 1.013133474721651828e+00
1.116708980376357552e+01 1.011256682437879695e+00
1.405853312974346814e+01 1.010067000100874690e+00
1.769864460958168095e+01 1.008775366784026239e+00
2.228127345331300901e+01 1.007591893296027497e+00
2.805046135750647807e+01 1.006586451508584057e+00
3.531343861551010122e+01 1.005890739261717792e+00
4.445698525089266440e+01 1.005383196173757154e+00
5.596802846409915588e+01 1.004829149848031955e+00
7.045957328146349141e+01 1.004613291328326108e+00
8.870334730819496372e+01 1.004537549147521691e+00
1.116708980374742026e+02 1.004442302745028659e+00
1.405853312972313063e+02 1.004404368310972684e+00
1.769864460955607228e+02 1.004343430083076250e+00
2.228127345328078661e+02 1.004526219409934473e+00
2.805046135746590039e+02 1.004454331217222940e+00
3.531343861545901746e+02 1.004106587020055841e+00
4.445698525082834749e+02 1.003922235080288106e+00
5.596802846401818670e+02 1.003711161284792430e+00
7.045957328136156548e+02 1.003478603593485508e+00
8.870334730806664538e+02 1.003480757791378020e+00
