# theta, boost
2.805046135754705627e+00 1.048934844632509300e+00
3.531343861556119457e+00 1.044640602206994062e+00
4.445698525095699516e+00 1.038731700276763092e+00
5.596802846418014177e+00 1.033633125984387613e+00
7.045957328156546851e+00 1.028835768183837152e+00
8.870334730832327708e+00 1.024921980464413851e+00
1.116708980376357552e+01 1.021353612445131009e+00
1.405853312974346814e+01 1.018180781834390647e+00
1.769864460958168095e+01 1.015162623199403313e+00
2.228127345331300901e+01 1.012663682927036346e+00
2.805046135750647807e+01 1.010318577509760729e+00
3.531343861551010122e+01 1.008412507584197426e+00
4.445698525089266440e+01 1.006894402185792403e+00
5.596802846409915588e+01 1.005548513003650779e+00
7.045957328146349141e+01 1.004708214927448662e+00
8.870334730819496372e+01 1.003968157625915403e+00
1.116708980374742026e+02 1.003625949549964425e+00
1.405853312972313063e+02 1.003731528838624820e+00
1.769864460955607228e+02 1.003764540743961042e+00
2.228127345328078661e+02 1.004131064329879530e+00
2.805046135746590039e+02 1.004596760336698313e+00
3.531343861545901746e+02 1.004608243080960861e+00
4.445698525082834749e+02 1.004625644758343039e+00
5.596802846401818670e+02 1.004138798647248976e+00
7.045957328136156548e+02 1.004518047300221983e+00
8.870334730806664538e+02 1.004986717243280481e+00
