# theta, boost
2.805046135754705627e+00 1.032720864022800056e+00
3.531343861556119457e+00 1.030523936179636557e+00
4.445698525095699516e+00 1.026582712921082274e+00
5.596802846418014177e+00 1.023317133414114011e+00
7.045957328156546851e+00 1.020373841795135794e+00
8.870334730832327708e+00 1.017639773130757819e+00
1.116708980376357552e+01 1.014720747186296679e+00
1.405853312974346814e+01 1.012650329386710180e+00
1.769864460958168095e+01 1.010551506845017933e+00
2.228127345331300901e+01 1.008686310448420942e+00
2.805046135750647807e+01 1.007087775848467759e+00
3.531343861551010122e+01 1.005978833110658277e+00
4.445698525089266440e+01 1.005084004349400040e+00
5.596802846409915588e+01 1.004204769132367669e+00
7.045957328146349141e+01 1.003701522063685125e+00
8.870334730819496372e+01 1.003605187248857167e+00
1.116708980374742026e+02 1.003501527743070776e+00
1.405853312972313063e+02 1.003587355089825550e+00
1.769864460955607228e+02 1.003544286577884970e+00
2.228127345328078661e+02 1.003716879386273186e+00
2.805046135746590039e+02 1.003844081243342456e+00
3.531343861545901746e+02 1.003533812211118148e+00
4.445698525082834749e+02 1.003469614097200591e+00
5.596802846401818670e+02 1.003233819305606511e+00
7.045957328136156548e+02 1.002921295112065847e+00
8.870334730806664538e+02 1.003146732479455405e+00
