# theta, gamma_t
2.805046135754908576e+00 1.163869142970351588e-03
3.531343861556885511e+00 9.006218733668721992e-04
4.445698525097306231e+00 7.002672246813903233e-04
5.596802846420849242e+00 5.073873281427174111e-04
7.045957328161134292e+00 4.497252467320610463e-04
8.870334730839386950e+00 3.481809230464281003e-04
1.116708980377407912e+01 3.105862014380169397e-04
1.405853312975872704e+01 2.540552560227065000e-04
1.769864460960344488e+01 2.320739394128475456e-04
2.228127345334363341e+01 1.996069443993549555e-04
2.805046135754907866e+01 1.788870956933601337e-04
3.531343861556884889e+01 1.466502154042323609e-04
4.445698525097307652e+01 1.287973099750758200e-04
5.596802846420851552e+01 1.107433095018340804e-04
7.045957328161131272e+01 9.733852479411102211e-05
8.870334730839388726e+01 7.634104381356255286e-05
1.116708980377407130e+02 5.838926443294270520e-05
1.405853312975872882e+02 4.427934041240249078e-05
1.769864460960343422e+02 2.809171666845684448e-05
2.228127345334363838e+02 1.642809446637807520e-05
2.805046135754906231e+02 9.935920209493704971e-06
3.531343861556885599e+02 4.677547493819550028e-06
4.445698525097302536e+02 9.191549308040515424e-07
5.596802846420847573e+02 5.081362764897198674e-06
7.045957328161139230e+02 -4.322339392554081688e-07
8.870334730839383610e+02 -1.024603236285630637e-05
