# theta, gammat_shot_noise
2.805046135754908576e+00 7.504747364696484410e-12
3.531343861556885511e+00 4.205271961423611674e-12
4.445698525097306231e+00 3.281396293587093699e-12
5.596802846420849242e+00 2.772084989129466329e-12
7.045957328161134292e+00 1.575834109264405801e-12
8.870334730839386950e+00 1.013397533108534373e-12
1.116708980377407912e+01 8.210242189552952635e-13
1.405853312975872704e+01 5.472493762710120426e-13
1.769864460960344488e+01 4.725846778096218073e-13
2.228127345334363341e+01 2.922370003482435020e-13
2.805046135754907866e+01 2.941969323678183706e-13
3.531343861556884889e+01 2.346997616348416432e-13
4.445698525097307652e+01 2.652029492339550296e-13
5.596802846420851552e+01 2.815175512982258374e-13
7.045957328161131272e+01 3.799905629809450437e-13
8.870334730839388726e+01 5.022823790410154038e-13
1.116708980377407130e+02 7.106426704993028336e-13
1.405853312975872882e+02 1.133196327481216051e-12
1.769864460960343422e+02 1.726593094301907774e-12
2.228127345334363838e+02 2.657935584791083013e-12
2.805046135754906231e+02 3.327579426648076505e-12
3.531343861556885599e+02 3.596157232109324449e-12
4.445698525097302536e+02 3.645932694699574803e-12
5.596802846420847573e+02 4.070031180637666880e-12
7.045957328161139230e+02 5.760636747637618740e-12
8.870334730839383610e+02 8.785658295236766650e-12
