# theta, gammat_shot_noise
2.805046135754908576e+00 9.594468407885498538e-12
3.531343861556885511e+00 7.558330008098731270e-12
4.445698525097306231e+00 4.362820387363150889e-12
5.596802846420849242e+00 2.877346447985673868e-12
7.045957328161134292e+00 1.908412465878577764e-12
8.870334730839386950e+00 1.294436104848836276e-12
1.116708980377407912e+01 1.058413386635309157e-12
1.405853312975872704e+01 5.579723087656218535e-13
1.769864460960344488e+01 5.142769453162685685e-13
2.228127345334363341e+01 3.223784967503725748e-13
2.805046135754907866e+01 3.107936536008164319e-13
3.531343861556884889e+01 3.196160145942272644e-13
4.445698525097307652e+01 3.016121615649584490e-13
5.596802846420851552e+01 3.061390376184116780e-13
7.045957328161131272e+01 3.885438589135960237e-13
8.870334730839388726e+01 5.077340089095567083e-13
1.116708980377407130e+02 7.184730647444702968e-13
1.405853312975872882e+02 1.111780845131766860e-12
1.769864460960343422e+02 1.823095439832762790e-12
2.228127345334363838e+02 2.752763300266540739e-12
2.805046135754906231e+02 3.372323556905106190e-12
3.531343861556885599e+02 3.649786583713305279e-12
4.445698525097302536e+02 3.655707990586477871e-12
5.596802846420847573e+02 4.015527299108822762e-12
7.045957328161139230e+02 5.463120815538930218e-12
8.870334730839383610e+02 8.779336518930756170e-12
